epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4675.39,0.49765,0.41016,1.09077,0.96522,0.90281,0.96978,0.83113,0.61475,0.44786,1.22779,0.0001882,0.0001882,0.0001882
84,4731.03,0.49157,0.39752,1.08646,0.94883,0.91706,0.97608,0.83549,0.61827,0.41744,1.23606,0.0001783,0.0001783,0.0001783
85,4786.59,0.50304,0.39984,1.08952,0.95918,0.90917,0.96554,0.81794,0.65267,0.44849,1.29185,0.0001684,0.0001684,0.0001684
86,4841.9,0.48362,0.38976,1.07455,0.95375,0.92414,0.97647,0.83842,0.63364,0.40919,1.25951,0.0001585,0.0001585,0.0001585
87,4897.96,0.48963,0.40424,1.07996,0.97003,0.89903,0.97057,0.83381,0.62356,0.42017,1.24951,0.0001486,0.0001486,0.0001486
88,4953.61,0.47042,0.38048,1.06269,0.96294,0.89272,0.96961,0.83554,0.61446,0.41235,1.23643,0.0001387,0.0001387,0.0001387
89,5009.35,0.47398,0.38304,1.05356,0.90877,0.94262,0.96898,0.83943,0.61043,0.40805,1.23792,0.0001288,0.0001288,0.0001288
90,5065.22,0.48902,0.38603,1.07119,0.95658,0.92285,0.974,0.84517,0.61046,0.40304,1.24106,0.0001189,0.0001189,0.0001189
91,5125.46,0.40156,0.28199,0.9744,0.93788,0.91378,0.96914,0.83027,0.61487,0.42286,1.24734,0.000109,0.000109,0.000109
92,5181.16,0.38126,0.2599,0.96567,0.9699,0.89356,0.97058,0.83853,0.60313,0.39309,1.24001,9.91e-05,9.91e-05,9.91e-05
93,5236.69,0.38484,0.25262,0.95505,0.94654,0.90805,0.97045,0.8368,0.62984,0.38413,1.27136,8.92e-05,8.92e-05,8.92e-05
94,5292.49,0.36896,0.25155,0.9583,0.96702,0.90247,0.96848,0.83595,0.61936,0.39057,1.26972,7.93e-05,7.93e-05,7.93e-05
95,5348.05,0.36014,0.24104,0.93844,0.94266,0.91735,0.97051,0.83799,0.62279,0.39594,1.26649,6.94e-05,6.94e-05,6.94e-05
96,5404.11,0.35031,0.23576,0.93513,0.95185,0.91413,0.97178,0.83845,0.6242,0.40139,1.26352,5.95e-05,5.95e-05,5.95e-05
97,5459.9,0.35302,0.23748,0.93595,0.96604,0.90414,0.96991,0.83561,0.62622,0.41033,1.27329,4.96e-05,4.96e-05,4.96e-05
98,5516.7,0.34391,0.2306,0.92975,0.94949,0.93132,0.96916,0.83633,0.61886,0.38804,1.26782,3.97e-05,3.97e-05,3.97e-05
99,5572.23,0.34052,0.22716,0.92945,0.96429,0.9207,0.96919,0.84297,0.59778,0.3892,1.24431,2.98e-05,2.98e-05,2.98e-05
100,5627.75,0.33462,0.2259,0.91907,0.96922,0.92341,0.97311,0.8461,0.60423,0.38047,1.25086,1.99e-05,1.99e-05,1.99e-05
